Date,Price,Open,High,Low
"May 03, 2010",67.0,70.0,70.0,65.0
"May 04, 2010",64.0,66.0,67.0,63.0
"May 05, 2010",63.0,64.0,64.0,61.0
"May 06, 2010",61.0,63.0,64.0,59.0
"May 07, 2010",61.0,61.0,61.0,59.0
"May 10, 2010",64.0,63.0,65.0,63.0
"May 11, 2010",62.0,64.0,64.0,62.0
"May 12, 2010",63.0,63.0,64.0,62.0
"May 13, 2010",64.0,63.0,64.0,62.0
"May 14, 2010",63.0,64.0,64.0,61.0
"May 17, 2010",62.0,63.0,63.0,60.0
"May 18, 2010",59.0,61.0,62.0,55.0
"May 19, 2010",55.0,58.0,58.0,53.0
"May 20, 2010",52.0,53.0,54.0,51.0
"May 21, 2010",54.0,52.0,55.0,51.0
"May 24, 2010",57.0,54.0,59.0,54.0
"May 25, 2010",56.0,55.0,56.0,53.0
"May 26, 2010",55.0,56.0,58.0,55.0
"May 27, 2010",57.0,57.0,58.0,55.0
"May 28, 2010",56.0,57.0,57.0,56.0
"May 31, 2010",57.0,57.0,57.0,56.0
"Jun 01, 2010",57.0,56.0,57.0,55.0
"Jun 02, 2010",58.0,57.0,58.0,55.0
"Jun 04, 2010",56.0,58.0,58.0,56.0
"Jun 07, 2010",56.0,56.0,58.0,56.0
"Jun 08, 2010",59.0,57.0,62.0,56.0
"Jun 09, 2010",58.0,60.0,60.0,57.0
"Jun 10, 2010",59.0,58.0,59.0,57.0
"Jun 11, 2010",58.0,58.0,59.0,58.0
"Jun 14, 2010",59.0,59.0,59.0,57.0
"Jun 15, 2010",59.0,59.0,60.0,58.0
"Jun 16, 2010",58.0,59.0,59.0,58.0
"Jun 17, 2010",59.0,59.0,60.0,58.0
"Jun 18, 2010",58.0,61.0,61.0,58.0
"Jun 21, 2010",59.0,60.0,60.0,58.0
"Jun 22, 2010",60.0,59.0,60.0,59.0
"Jun 23, 2010",59.0,60.0,60.0,58.0
"Jun 24, 2010",59.0,58.0,59.0,57.0
"Jun 25, 2010",60.0,59.0,60.0,58.0
"Jun 28, 2010",59.0,59.0,59.0,58.0
"Jun 29, 2010",57.0,58.0,58.0,57.0
"Jun 30, 2010",57.0,57.0,58.0,57.0
"Jul 01, 2010",57.0,57.0,58.0,57.0
"Jul 02, 2010",57.0,58.0,58.0,56.0
"Jul 05, 2010",56.0,56.0,57.0,56.0
"Jul 06, 2010",57.0,56.0,58.0,56.0
"Jul 07, 2010",57.0,56.0,57.0,56.0
"Jul 08, 2010",57.0,57.0,58.0,56.0
"Jul 12, 2010",57.0,56.0,57.0,56.0
"Jul 13, 2010",58.0,57.0,58.0,57.0
"Jul 14, 2010",58.0,57.0,58.0,57.0
"Jul 15, 2010",59.0,57.0,59.0,57.0
"Jul 16, 2010",59.0,58.0,59.0,58.0
"Jul 19, 2010",71.0,59.0,71.0,59.0
"Jul 20, 2010",68.0,69.0,71.0,64.0
"Jul 21, 2010",65.0,69.0,70.0,63.0
"Jul 22, 2010",62.0,64.0,66.0,62.0
"Jul 23, 2010",62.0,62.0,64.0,61.0
"Jul 26, 2010",61.0,62.0,63.0,61.0
"Jul 27, 2010",62.0,62.0,64.0,61.0
"Jul 28, 2010",62.0,62.0,63.0,61.0
"Jul 29, 2010",60.0,62.0,64.0,59.0
"Jul 30, 2010",61.0,60.0,61.0,59.0
"Aug 02, 2010",61.0,61.0,62.0,60.0
"Aug 03, 2010",60.0,60.0,61.0,59.0
"Aug 04, 2010",61.0,61.0,62.0,59.0
"Aug 05, 2010",62.0,61.0,65.0,61.0
"Aug 06, 2010",61.0,62.0,62.0,61.0
"Aug 09, 2010",62.0,61.0,63.0,61.0
"Aug 10, 2010",62.0,62.0,62.0,61.0
"Aug 11, 2010",64.0,62.0,64.0,60.0
"Aug 12, 2010",61.0,64.0,64.0,61.0
"Aug 13, 2010",63.0,62.0,63.0,61.0
"Aug 16, 2010",61.0,63.0,63.0,61.0
"Aug 17, 2010",62.0,62.0,64.0,61.0
"Aug 18, 2010",61.0,62.0,63.0,61.0
"Aug 19, 2010",60.0,62.0,62.0,60.0
"Aug 20, 2010",61.0,61.0,62.0,60.0
"Aug 23, 2010",61.0,61.0,61.0,60.0
"Aug 24, 2010",60.0,60.0,61.0,59.0
"Aug 25, 2010",60.0,59.0,60.0,59.0
"Aug 26, 2010",60.0,60.0,61.0,59.0
"Aug 27, 2010",59.0,60.0,60.0,59.0
"Aug 30, 2010",60.0,60.0,60.0,59.0
"Aug 31, 2010",59.0,59.0,60.0,58.0
"Sep 01, 2010",60.0,59.0,60.0,59.0
"Sep 02, 2010",58.0,59.0,59.0,58.0
"Sep 03, 2010",58.0,59.0,60.0,57.0
"Sep 06, 2010",58.0,58.0,59.0,57.0
"Sep 08, 2010",58.0,57.0,58.0,57.0
"Sep 09, 2010",58.0,57.0,58.0,56.0
"Sep 10, 2010",56.0,58.0,58.0,56.0
"Sep 13, 2010",58.0,57.0,58.0,56.0
"Sep 14, 2010",57.0,57.0,58.0,56.0
"Sep 15, 2010",56.0,56.0,57.0,56.0
"Sep 16, 2010",57.0,57.0,58.0,56.0
"Sep 17, 2010",57.0,56.0,57.0,56.0
"Sep 20, 2010",57.0,57.0,57.0,56.0
"Sep 21, 2010",57.0,56.0,57.0,56.0
"Sep 22, 2010",59.0,58.0,59.0,55.0
"Sep 23, 2010",57.0,57.0,59.0,57.0
"Sep 24, 2010",57.0,57.0,58.0,56.0
"Sep 27, 2010",56.0,57.0,58.0,56.0
"Sep 28, 2010",57.0,56.0,57.0,56.0
"Sep 29, 2010",56.0,57.0,58.0,56.0
"Sep 30, 2010",57.0,57.0,58.0,56.0
"Oct 01, 2010",57.0,57.0,58.0,56.0
"Oct 04, 2010",57.0,58.0,58.0,57.0
"Oct 05, 2010",57.0,57.0,58.0,56.0
"Oct 06, 2010",57.0,57.0,58.0,56.0
"Oct 07, 2010",58.0,57.0,58.0,56.0
"Oct 08, 2010",59.0,58.0,62.0,58.0
"Oct 11, 2010",59.0,59.0,61.0,58.0
"Oct 13, 2010",59.0,59.0,60.0,57.0
"Oct 14, 2010",58.0,58.0,59.0,57.0
"Oct 15, 2010",58.0,58.0,58.0,57.0
"Oct 18, 2010",57.0,57.0,58.0,57.0
"Oct 19, 2010",57.0,57.0,58.0,57.0
"Oct 20, 2010",60.0,57.0,60.0,57.0
"Oct 21, 2010",59.0,60.0,61.0,57.0
"Oct 22, 2010",58.0,59.0,60.0,58.0
"Oct 25, 2010",58.0,58.0,58.0,58.0
"Oct 26, 2010",58.0,58.0,60.0,57.0
"Oct 27, 2010",57.0,59.0,59.0,57.0
"Oct 28, 2010",59.0,58.0,59.0,57.0
"Oct 29, 2010",59.0,59.0,59.0,58.0
"Nov 01, 2010",61.0,60.0,63.0,60.0
"Nov 03, 2010",60.0,61.0,63.0,59.0
"Nov 04, 2010",61.0,60.0,61.0,60.0
"Nov 05, 2010",60.0,60.0,60.0,58.0
"Nov 08, 2010",60.0,60.0,60.0,58.0
"Nov 09, 2010",59.0,60.0,60.0,58.0
"Nov 10, 2010",58.0,58.0,59.0,57.0
"Nov 11, 2010",58.0,58.0,59.0,57.0
"Nov 12, 2010",57.0,58.0,58.0,56.0
"Nov 16, 2010",57.0,57.0,57.0,55.0
"Nov 17, 2010",56.0,56.0,57.0,56.0
"Nov 18, 2010",57.0,57.0,57.0,56.0
"Nov 19, 2010",57.0,57.0,57.0,56.0
"Nov 22, 2010",56.0,57.0,57.0,56.0
"Nov 23, 2010",57.0,56.0,57.0,55.0
"Nov 24, 2010",56.0,56.0,57.0,55.0
"Nov 25, 2010",56.0,56.0,57.0,56.0
"Nov 26, 2010",57.0,56.0,57.0,56.0
"Nov 29, 2010",57.0,56.0,57.0,55.0
"Nov 30, 2010",56.0,56.0,57.0,56.0
"Dec 01, 2010",55.0,56.0,57.0,55.0
"Dec 02, 2010",57.0,56.0,57.0,56.0
"Dec 03, 2010",57.0,57.0,57.0,55.0
"Dec 06, 2010",56.0,57.0,57.0,55.0
"Dec 07, 2010",55.0,56.0,57.0,55.0
"Dec 08, 2010",55.0,56.0,56.0,55.0
"Dec 09, 2010",55.0,56.0,56.0,55.0
"Dec 10, 2010",56.0,55.0,56.0,55.0
"Dec 13, 2010",56.0,55.0,56.0,55.0
"Dec 14, 2010",56.0,55.0,57.0,55.0
"Dec 15, 2010",55.0,55.0,55.0,54.0
"Dec 16, 2010",54.0,54.0,55.0,53.0
"Dec 17, 2010",54.0,54.0,54.0,53.0
"Dec 20, 2010",53.0,53.0,54.0,53.0
"Dec 21, 2010",54.0,54.0,55.0,53.0
"Dec 22, 2010",56.0,54.0,56.0,54.0
"Dec 23, 2010",55.0,55.0,55.0,54.0
"Dec 27, 2010",55.0,55.0,55.0,54.0
"Dec 28, 2010",54.0,54.0,55.0,54.0
"Dec 29, 2010",54.0,54.0,55.0,54.0
"Dec 30, 2010",54.0,55.0,55.0,54.0
"Jan 03, 2011",54.0,54.0,55.0,54.0
"Jan 04, 2011",54.0,55.0,55.0,54.0
"Jan 05, 2011",56.0,54.0,56.0,54.0
"Jan 06, 2011",56.0,56.0,58.0,55.0
"Jan 07, 2011",55.0,56.0,56.0,55.0
"Jan 10, 2011",54.0,55.0,55.0,54.0
"Jan 11, 2011",54.0,55.0,56.0,54.0
"Jan 12, 2011",55.0,54.0,55.0,54.0
"Jan 13, 2011",55.0,55.0,55.0,54.0
"Jan 14, 2011",55.0,54.0,55.0,54.0
"Jan 17, 2011",56.0,54.0,56.0,54.0
"Jan 18, 2011",56.0,57.0,61.0,55.0
"Jan 19, 2011",56.0,56.0,57.0,55.0
"Jan 20, 2011",56.0,55.0,56.0,54.0
"Jan 21, 2011",55.0,55.0,56.0,54.0
"Jan 24, 2011",55.0,55.0,55.0,54.0
"Jan 26, 2011",55.0,55.0,55.0,54.0
"Jan 27, 2011",56.0,55.0,56.0,55.0
"Jan 28, 2011",55.0,55.0,55.0,54.0
"Jan 31, 2011",55.0,55.0,55.0,54.0
"Feb 01, 2011",54.0,55.0,55.0,54.0
