Date,Price,Open,High,Low
"Dec 06, 2012",24.5,24.5,25.0,23.5
"Dec 07, 2012",25.5,24.0,26.5,23.5
"Dec 10, 2012",25.0,25.5,25.5,24.5
"Dec 11, 2012",23.5,25.0,25.0,23.0
"Dec 12, 2012",23.0,24.0,24.0,22.5
"Dec 13, 2012",23.0,22.5,23.5,22.5
"Dec 14, 2012",23.0,23.5,23.5,22.5
"Dec 17, 2012",23.5,23.0,23.5,22.5
"Dec 18, 2012",23.0,23.0,23.5,22.5
"Dec 19, 2012",22.5,23.5,23.5,21.5
"Dec 20, 2012",22.0,22.0,22.5,21.5
"Dec 21, 2012",21.5,22.0,22.0,21.5
"Dec 26, 2012",22.0,21.5,22.0,21.0
"Dec 27, 2012",21.5,22.0,22.0,20.5
"Dec 28, 2012",20.0,21.0,21.5,19.5
"Jan 02, 2013",21.5,20.5,22.0,20.0
"Jan 03, 2013",20.5,21.0,21.5,20.5
"Jan 04, 2013",21.0,20.5,21.5,20.5
"Jan 07, 2013",21.0,21.5,23.5,21.0
"Jan 08, 2013",21.0,21.5,22.0,20.0
"Jan 09, 2013",21.0,21.0,21.5,20.0
"Jan 10, 2013",21.0,21.5,21.5,21.0
"Jan 11, 2013",21.0,21.5,22.0,21.0
"Jan 14, 2013",21.5,21.5,22.0,21.0
"Jan 15, 2013",22.0,21.5,22.5,21.0
"Jan 16, 2013",21.5,22.0,22.0,21.0
"Jan 17, 2013",21.5,21.5,22.0,21.0
"Jan 18, 2013",21.5,21.5,21.5,20.5
"Jan 21, 2013",21.5,21.0,21.5,21.0
"Jan 22, 2013",21.5,21.5,22.0,21.0
"Jan 23, 2013",23.5,21.5,24.5,21.0
"Jan 24, 2013",22.0,24.0,24.5,22.0
"Jan 28, 2013",22.5,22.5,23.0,21.5
"Jan 29, 2013",22.0,22.5,22.5,21.5
"Jan 30, 2013",21.0,22.0,22.5,21.0
"Jan 31, 2013",20.5,21.0,21.0,20.0
"Feb 01, 2013",20.5,20.5,21.0,19.5
"Feb 04, 2013",21.0,20.0,21.0,20.0
"Feb 05, 2013",21.5,20.5,21.5,20.5
"Feb 06, 2013",21.5,21.5,21.5,20.5
"Feb 07, 2013",21.0,21.0,21.5,21.0
"Feb 08, 2013",20.5,21.5,21.5,20.5
"Feb 13, 2013",21.5,21.0,21.5,21.0
"Feb 14, 2013",23.0,21.5,23.5,21.5
"Feb 15, 2013",22.0,22.5,23.0,21.5
"Feb 18, 2013",23.0,22.0,23.0,21.5
"Feb 19, 2013",22.5,23.0,23.5,21.5
"Feb 20, 2013",22.0,22.5,22.5,21.5
"Feb 21, 2013",22.0,21.5,22.0,21.5
"Feb 22, 2013",23.0,21.5,23.0,21.5
"Feb 25, 2013",23.0,23.0,23.5,22.0
"Feb 26, 2013",22.5,22.5,22.5,22.0
"Feb 27, 2013",22.5,22.0,22.5,22.0
"Feb 28, 2013",22.5,22.5,23.5,22.0
"Mar 01, 2013",22.5,22.5,22.5,22.0
"Mar 04, 2013",22.0,22.0,22.0,21.0
"Mar 05, 2013",21.5,21.5,22.5,21.5
"Mar 06, 2013",22.0,21.5,22.0,21.5
"Mar 07, 2013",22.5,22.0,22.5,21.5
"Mar 08, 2013",22.0,21.5,22.0,21.5
"Mar 11, 2013",22.5,21.5,22.5,21.5
"Mar 12, 2013",22.0,22.5,22.5,21.5
"Mar 13, 2013",22.0,22.0,22.0,21.5
"Mar 14, 2013",21.5,22.0,22.0,21.5
"Mar 15, 2013",21.5,22.0,22.5,21.5
"Mar 18, 2013",21.5,21.5,22.0,21.5
"Mar 19, 2013",21.5,21.5,22.0,21.5
"Mar 20, 2013",22.0,21.5,22.5,21.5
"Mar 21, 2013",22.0,22.0,22.0,21.5
"Mar 22, 2013",22.0,22.0,22.5,21.5
"Mar 25, 2013",22.0,22.0,22.0,21.5
"Mar 26, 2013",21.5,22.0,22.0,21.5
"Mar 27, 2013",22.0,22.0,22.5,22.0
"Mar 28, 2013",22.0,22.0,22.0,21.5
"Apr 01, 2013",22.0,22.0,22.5,21.5
